Taxon,Group,Further_grouping,Mass type,"Equation M[mg], L[mm]",a,b,Min (mm),Max (mm),Reference,Details of body length measurement,Regression_specificity
Hemiptera,Acanthosomatidae,,Dry mass,M = exp(a + b * log(L)),-4.784,3.075,3.2,40.23,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"Group specific,"
,,,,,,,,,,appendages,Hemiptera
Hemiptera,Anthocoridae,,Dry mass,M = exp(a + b * log(L)),-4.784,3.075,3.2,40.23,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"Group specific,"
,,,,,,,,,,appendages,Hemiptera
Hemiptera,Aradidae,,Dry mass,M = exp(a + b * log(L)),-4.784,3.075,3.2,40.23,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"Group specific,"
,,,,,,,,,,appendages,Hemiptera
Hemiptera,Ceratocombidae,,Dry mass,M = exp(a + b * log(L)),-4.784,3.075,3.2,40.23,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"Group specific,"
,,,,,,,,,,appendages,Hemiptera
Hemiptera,Cicadellidae,,Dry mass,M = exp(a + b * log(L)),-3.735,2.561,2.13,13.25,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,Group specific
,,,,,,,,,,appendages,
Hemiptera,Cimicidae,,Dry mass,M = exp(a + b * log(L)),-4.784,3.075,3.2,40.23,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Hemiptera"
,,,,,,,,,,appendages,
Hemiptera,Cydnidae,,Dry mass,M = exp(a + b * log(L)),-4.784,3.075,3.2,40.23,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Hemiptera"
,,,,,,,,,,appendages,
Hemiptera,Delphacidae,,Dry mass,M = exp(a + b * log(L)),-2.823,2.225,2.13,13.25,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"Inferred,"
,,,,,,,,,,appendages,Homoptera
Hemiptera,Dipsocoridae,,Dry mass,M = exp(a + b * log(L)),-4.784,3.075,3.2,40.23,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Hemiptera"
,,,,,,,,,,appendages,
Hemiptera,Enicocephalidae,,Dry mass,M = exp(a + b * log(L)),-4.784,3.075,3.2,40.23,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Hemiptera"
,,,,,,,,,,appendages,
Hemiptera,Eurybrachyidae,,Dry mass,M = exp(a + b * log(L)),-2.823,2.225,2.13,13.25,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"Inferred,"
,,,,,,,,,,appendages,Homoptera
Hemiptera,Hebridae,,Dry mass,M = exp(a + b * log(L)),-4.784,3.075,3.2,40.23,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Hemiptera"
,,,,,,,,,,appendages,
Hemiptera,Hydrometridae,,Dry mass,M = exp(a + b * log(L)),-4.784,3.075,3.2,40.23,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Hemiptera"
,,,,,,,,,,appendages,
Hemiptera,Lophopidae,,Dry mass,M = exp(a + b * log(L)),-2.823,2.225,2.13,13.25,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"Inferred,"
,,,,,,,,,,appendages,Homoptera
Hemiptera,Lygaeidae,,Dry mass,M = exp(a + b * log(L)),-4.784,3.075,3.2,40.23,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Hemiptera"
,,,,,,,,,,appendages,
Hemiptera,Meenoplidae,,Dry mass,M = exp(a + b * log(L)),-2.823,2.225,2.13,13.25,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"Inferred,"
,,,,,,,,,,appendages,Homoptera
Hemiptera,Membracidae,,Dry mass,M = exp(a + b * log(L)),-2.823,2.225,2.13,13.25,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"Inferred,"
,,,,,,,,,,appendages,Homoptera
Hemiptera,Mesoveliidae,,Dry mass,M = exp(a + b * log(L)),-4.784,3.075,3.2,40.23,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Hemiptera"
,,,,,,,,,,appendages,
Hemiptera,Miridae,,Dry mass,M = exp(a + b * log(L)),-4.784,3.075,3.2,40.23,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Hemiptera"
,,,,,,,,,,appendages,
Hemiptera,Nabidae,,Dry mass,M = exp(a + b * log(L)),-4.784,3.075,3.2,40.23,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Hemiptera"
,,,,,,,,,,appendages,
Hemiptera,Pentatomidae,,Dry mass,M = exp(a + b * log(L)),-4.197,3.053,6.35,16.73,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,Group specific
,,,,,,,,,,appendages,
Hemiptera,Reduviidae,,Dry mass,M = exp(a + b * log(L)),-4.784,3.075,3.2,40.23,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Hemiptera"
,,,,,,,,,,appendages,
Hemiptera,Schizopteridae,,Dry mass,M = exp(a + b * log(L)),-4.784,3.075,3.2,40.23,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Hemiptera"
,,,,,,,,,,appendages,
Hemiptera,Triozidea,,Dry mass,M = exp(a + b * log(L)),-2.823,2.225,2.13,13.25,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"Inferred,"
,,,,,,,,,,appendages,Homoptera
Hymenoptera,Bethylidae,,Dry mass,M = exp(a + b * log(L)),-3.336,2.104,1,12,"(Gowing & Recher, 1984)",not mentioned,"inferred, Hym. excl"
,,,,,,,,,,,Formicidae
Hymenoptera,Diapriidae,,Dry mass,M = exp(a + b * log(L)),-3.336,2.104,1,12,"(Gowing & Recher, 1984)",not mentioned,"inferred, Hym. excl"
,,,,,,,,,,,Formicidae
Hymenoptera,Eucoilidae,,Dry mass,M = exp(a + b * log(L)),-3.336,2.104,1,12,"(Gowing & Recher, 1984)",not mentioned,"inferred, Hym. excl"
,,,,,,,,,,,Formicidae
Hymenoptera,Eupelmidae,,Dry mass,M = exp(a + b * log(L)),-3.336,2.104,1,12,"(Gowing & Recher, 1984)",not mentioned,"inferred, Hym. excl"
,,,,,,,,,,,Formicidae
Hymenoptera,Figitidae,,Dry mass,M = exp(a + b * log(L)),-3.336,2.104,1,12,"(Gowing & Recher, 1984)",not mentioned,"inferred, Hym. excl"
,,,,,,,,,,,Formicidae
Hymenoptera,Formicidae,,Dry mass,M = exp(a + b * log(L)),-3.996,2.489,2,18,"(Gowing & Recher, 1984)",not mentioned,Group specific
Hymenoptera,Mymariidae,,Dry mass,M = exp(a + b * log(L)),-3.336,2.104,1,12,"(Gowing & Recher, 1984)",not mentioned,"inferred, Hym. excl"
,,,,,,,,,,,Formicidae
Hymenoptera,Scelionidae,,Dry mass,M = exp(a + b * log(L)),-3.336,2.104,1,12,"(Gowing & Recher, 1984)",not mentioned,"inferred, Hym. excl"
,,,,,,,,,,,Formicidae
Hymenoptera,Specidae,,Dry mass,M = exp(a + b * log(L)),-3.336,2.104,1,12,"(Gowing & Recher, 1984)",not mentioned,"inferred, Hym. excl"
,,,,,,,,,,,Formicidae
Hymenoptera,Trichogrammatidae,,Dry mass,M = exp(a + b * log(L)),-3.336,2.104,1,12,"(Gowing & Recher, 1984)",not mentioned,"inferred, Hym. excl"
,,,,,,,,,,,Formicidae
Hymenoptera,Unidentifiable,,Dry mass,M = exp(a + b * log(L)),-3.336,2.104,1,12,"(Gowing & Recher, 1984)",not mentioned,"inferred, Hym. excl"
,,,,,,,,,,,Formicidae
Isopoda,All,,Dry mass,M = exp(a + b * log(L)),-4.81,3.44,2.7,8,"(Wardhaugh, 2013)",front of labrum to tip of abdomen (excl. cerci or,"Group specific,"
,,,,,,,,,,ovipositors) or tip of elytra (longest),Isopoda
Isoptera,Rhinotermitidae,,Dry mass,M = e^a * L^b,-5.802,3.177,3.3,5.6,"(Johnson & Strong, 2000)",head to end of abdomen,"inferred, Isoptera"
Isoptera,Termitidae,,Dry mass,M = e^a * L^b,-5.802,3.177,3.3,5.6,"(Johnson & Strong, 2000)",head to end of abdomen,"inferred, Isoptera"
Isoptera,Unidentifiable,,Dry mass,M = e^a * L^b,-5.802,3.177,3.3,5.6,"(Johnson & Strong, 2000)",head to end of abdomen,"inferred, Isoptera"
Lepidoptera,Alucitidae,,Dry mass,M = exp(a + b * log(L)),-5.909,2.959,6.26,44.62,"(Sample, Cooper, Greer, & Whitmore, 1993)","frons to tip of abdomen (excl. antennae,","inferred,"
,,,,,,,,,,"ovipositors, wings etc.)",Lepidoptera Larvae
Lepidoptera,Arctiidae,,Dry mass,M = exp(a + b * log(L)),-5.909,2.959,6.26,44.62,"(Sample, Cooper, Greer, & Whitmore, 1993)","frons to tip of abdomen (excl. antennae,","inferred,"
,,,,,,,,,,"ovipositors, wings etc.)",Lepidoptera Larvae
Lepidoptera,Arctiidae,,Dry mass,M = exp(a + b * log(L)),-3.755,2.658,5.05,20.06,"(Sample, Cooper, Greer, & Whitmore, 1993)","frons to tip of abdomen (excl. antennae,","inferred,"
,,,,,,,,,,"ovipositors, wings etc.)",Lepidoptera
Lepidoptera,Gelechiidae,,Dry mass,M = exp(a + b * log(L)),-5.909,2.959,6.26,44.62,"(Sample, Cooper, Greer, & Whitmore, 1993)","frons to tip of abdomen (excl. antennae,","inferred,"
,,,,,,,,,,"ovipositors, wings etc.)",Lepidoptera Larvae
Lepidoptera,Geometridae,,Dry mass,M = exp(a + b * log(L)),-5.493,2.625,7.66,29.5,"(Sample, Cooper, Greer, & Whitmore, 1993)","frons to tip of abdomen (excl. antennae,",Group specific
,,,,,,,,,,"ovipositors, wings etc.)",
Lepidoptera,Hesperiidae,,Dry mass,M = exp(a + b * log(L)),-5.909,2.959,6.26,44.62,"(Sample, Cooper, Greer, & Whitmore, 1993)","frons to tip of abdomen (excl. antennae,","inferred,"
,,,,,,,,,,"ovipositors, wings etc.)",Lepidoptera Larvae
Lepidoptera,Lasiocampidae,,Dry mass,M = exp(a + b * log(L)),-5.909,2.959,6.26,44.62,"(Sample, Cooper, Greer, & Whitmore, 1993)","frons to tip of abdomen (excl. antennae,","inferred,"
,,,,,,,,,,"ovipositors, wings etc.)",Lepidoptera Larvae
Lepidoptera,Lymantriidae,,Dry mass,M = exp(a + b * log(L)),-5.909,2.959,6.26,44.62,"(Sample, Cooper, Greer, & Whitmore, 1993)","frons to tip of abdomen (excl. antennae,","inferred,"
,,,,,,,,,,"ovipositors, wings etc.)",Lepidoptera Larvae
Lepidoptera,Noctuidae,,Dry mass,M = exp(a + b * log(L)),-5.424,2.845,7.96,42.8,"(Sample, Cooper, Greer, & Whitmore, 1993)","frons to tip of abdomen (excl. antennae,",Group specific
,,,,,,,,,,"ovipositors, wings etc.)",
Lepidoptera,Nolidae,,Dry mass,M = exp(a + b * log(L)),-5.909,2.959,6.26,44.62,"(Sample, Cooper, Greer, & Whitmore, 1993)","frons to tip of abdomen (excl. antennae,","inferred,"
,,,,,,,,,,"ovipositors, wings etc.)",Lepidoptera Larvae
Lepidoptera,Pterophoridae,,Dry mass,M = exp(a + b * log(L)),-5.909,2.959,6.26,44.62,"(Sample, Cooper, Greer, & Whitmore, 1993)","frons to tip of abdomen (excl. antennae,","inferred,"
,,,,,,,,,,"ovipositors, wings etc.)",Lepidoptera Larvae
Lepidoptera,Pyralidae,,Dry mass,M = exp(a + b * log(L)),-5.909,2.959,6.26,44.62,"(Sample, Cooper, Greer, & Whitmore, 1993)","frons to tip of abdomen (excl. antennae,","inferred,"
,,,,,,,,,,"ovipositors, wings etc.)",Lepidoptera Larvae
Lepidoptera,Pyralidae,,Dry mass,M = exp(a + b * log(L)),-5.036,3.122,2.76,40.73,"(Sample, Cooper, Greer, & Whitmore, 1993)","frons to tip of abdomen (excl. antennae,","inferred,"
,,,,,,,,,,"ovipositors, wings etc.)",Lepidoptera
Mantodea,Mantidae,,Dry mass,M = exp(a + b * log(L)),-6.34,3.01,6,66,"(Wardhaugh, 2013)",front of labrum to tip of abdomen (excl. cerci or,Group specific
,,,,,,,,,,ovipositors) or tip of elytra (longest),
Neuroptera,Chrysopidae,,Dry mass,M = exp(a + b * log(L)),-4.483,2.57,3.45,54.51,"(Sample, Cooper, Greer, & Whitmore, 1993)","frons to tip of abdomen (excl. antennae,","inferred,"
,,,,,,,,,,"ovipositors, wings etc.)",Neuroptera
Opiliones,All,,Fresh mass,M = exp(a + b * log(L)),-0.899,2.984,0.57,6.9,"(Höfer & Ott, 2009)",edge of prosoma (without chelicerae) to edge of,"inferred, Opiliones"
,,,,,,,,,,opisthosoma (excl spinnerets),
Orthoptera,Acrididae,,Dry mass,M = exp(a + b * log(L)),-3.17,2.61,2.3,33,"(Wardhaugh, 2013)",front of labrum to tip of abdomen (excl. cerci or,"inferred, Orthoptera"
,,,,,,,,,,ovipositors) or tip of elytra (longest),
Orthoptera,Eumastacidae,,Dry mass,M = exp(a + b * log(L)),-3.17,2.61,2.3,33,"(Wardhaugh, 2013)",front of labrum to tip of abdomen (excl. cerci or,"inferred, Orthoptera"
,,,,,,,,,,ovipositors) or tip of elytra (longest),
Orthoptera,Gryllidae,,Dry mass,M = exp(a + b * log(L)),-3.17,2.61,2.3,33,"(Wardhaugh, 2013)",front of labrum to tip of abdomen (excl. cerci or,"inferred, Orthoptera"
,,,,,,,,,,ovipositors) or tip of elytra (longest),
Orthoptera,Tetrigidae,,Dry mass,M = exp(a + b * log(L)),-3.17,2.61,2.3,33,"(Wardhaugh, 2013)",front of labrum to tip of abdomen (excl. cerci or,"inferred, Orthoptera"
,,,,,,,,,,ovipositors) or tip of elytra (longest),
Plecoptera,All,,Dry mass,M = a * L^b,0.0094,2.754,1.95,3.232,"(Benke, Huryn, Smock, & Wallace, 1999)",Total length,Group specific
Plecoptera,Austroperlidae,,Dry mass,M = a * L^b,0.0094,2.754,1.95,3.232,"(Benke, Huryn, Smock, & Wallace, 1999)",Total length,Group specific
Plecoptera,Gripopterygidae,,Dry mass,M = a * L^b,0.0094,2.754,1.95,3.232,"(Benke, Huryn, Smock, & Wallace, 1999)",Total length,Group specific
Plecoptera,Notonemouridae,,Dry mass,M = a * L^b,0.0094,2.754,1.95,3.232,"(Benke, Huryn, Smock, & Wallace, 1999)",Total length,Group specific
Pseudoscorpionida,All,,fresh mass,M = exp(a + b * log(L)),-1.892,2.515,0.86,2.1,"(Höfer & Ott, 2009)",edge of prosoma (without chelicerae) to edge of,Group specific
,,,,,,,,,,opisthosoma (excl spinnerets),
Psocoptera,Archipsocidae,,Dry mass,M = a * (L)^b,0.014,3.115,1.5,3.15,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","inferred, Psocoptera"
,,,,,,,,,,any appendages,
Psocoptera,Caeciliidae,,Dry mass,M = a * (L)^b,0.014,3.115,1.5,3.15,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","inferred, Psocoptera"
,,,,,,,,,,any appendages,
Psocoptera,Ectopsocidae,,Dry mass,M = a * (L)^b,0.014,3.115,1.5,3.15,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","inferred, Psocoptera"
,,,,,,,,,,any appendages,
Psocoptera,Elipsocidae,,Dry mass,M = a * (L)^b,0.014,3.115,1.5,3.15,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","inferred, Psocoptera"
,,,,,,,,,,any appendages,
Psocoptera,Epipsocidae,,Dry mass,M = a * (L)^b,0.014,3.115,1.5,3.15,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","inferred, Psocoptera"
,,,,,,,,,,any appendages,
Psocoptera,Hemipsocidae,,Dry mass,M = a * (L)^b,0.014,3.115,1.5,3.15,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","inferred, Psocoptera"
,,,,,,,,,,any appendages,
Psocoptera,Lepidopsocidae,,Dry mass,M = a * (L)^b,0.014,3.115,1.5,3.15,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","inferred, Psocoptera"
,,,,,,,,,,any appendages,
Psocoptera,Pachytroctidae,,Dry mass,M = a * (L)^b,0.014,3.115,1.5,3.15,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","inferred, Psocoptera"
,,,,,,,,,,any appendages,
Psocoptera,Psocidae,,Dry mass,M = a * (L)^b,0.014,3.115,1.5,3.15,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","inferred, Psocoptera"
,,,,,,,,,,any appendages,
Psocoptera,Psyllipsocidae,,Dry mass,M = a * (L)^b,0.014,3.115,1.5,3.15,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","inferred, Psocoptera"
,,,,,,,,,,any appendages,
Psocoptera,Unidentifiable,,Dry mass,M = a * (L)^b,0.014,3.115,1.5,3.15,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","inferred, Psocoptera"
,,,,,,,,,,any appendages,
Schizomida,Hubbardiidae,,Fresh mass,M = exp(a + b * log(L)),-2.108,3.017,0.67,36,"(Höfer & Ott, 2009)",edge of prosoma (without chelicerae) to edge of,"inferred, hunting"
,,,,,,,,,,opisthosoma (excl spinnerets),spiders
Symphyla,Scutegerillidae,,Dry mass,M = a * (L)^b,0.035,2.173,0.9,17.6,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","inferred, all insect"
,,,,,,,,,,any appendages,taxa
Thysanoptera,Aeolothripidae,,Dry mass,M = a * (L)^b,0.035,2.173,0.9,17.6,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","inferred, all insect"
,,,,,,,,,,any appendages,taxa
Thysanoptera,Phlaeothripidae,,Dry mass,M = a * (L)^b,0.035,2.173,0.9,17.6,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","inferred, all insect"
,,,,,,,,,,any appendages,taxa
Thysanoptera,Thripidae,,Dry mass,M = a * (L)^b,0.035,2.173,0.9,17.6,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","inferred, all insect"
,,,,,,,,,,any appendages,taxa
Thysanura,Nicoletiidae,,Dry mass,M = exp(a + b * log(L)),-3.628,2.494,2.13,54.51,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, all insect"
,,,,,,,,,,appendages,taxa
